state,daily_percap_cons,lvstck_holding_tlu,months_food_insecure,months_food_insec
abia,627.54535,.17043479,.32727271,.45192307
adamawa,208.24335,3.1459482,.375,.51694918
akwa ibom,829.63867,.1961017,.21333334,.45833334
anambra,556.18359,.34466258,.60454547,2.0390244
bauchi,268.45038,2.1052084,.12941177,.22023809
bayelsa,553.67383,.00047619047,.12857144,.30882353
benue,358.10648,.5528276,.043749999,.0064935065
borno,304.33078,.62986302,.65238094,.28089887
cross river,380.57654,.075044245,.34615386,.64566928
delta,661.67828,.22117117,.12142857,.14503817
ebonyi,325.7514,.38550389,.37142858,.71942449
edo,602.21198,.1498,.13,.28865978
ekiti,460.77042,.32694444,.2,.1594203
enugu,480.41794,.38931036,.12142857,.12030075
gombe,434.21237,1.6461194,.33750001,.53846157
imo,535.59674,.23195653,.32631579,1.0372341
jigawa,331.52844,3.0481081,.053846154,.062015504
kaduna,327.85162,3.2861905,.31666666,.4778761
kano,237.1714,1.4736757,.125,.41206029
katsina,238.97858,1.5103185,.11111111,.14204545
kebbi,262.50735,.86704081,.0099999998,0
kogi,423.9819,.14263736,.075000003,.19166666
kwara,457.54193,2.4606173,.18333334,.41441441
lagos,650.40674,.20416667,.3882353,.72483224
nasarawa,270.05231,3.332459,.31428573,.52941179
niger,297.15808,5.1145453,.055555556,.077777781
ogun,546.55573,.024848485,.24545455,.25773194
ondo,441.31412,.069487177,.15384616,.13333334
osun,569.57953,.59811765,.31666666,.49056605
oyo,540.92133,2.3222973,.37391305,.78756475
plateau,265.82773,1.5311458,.30909091,.5181818
rivers,781.81415,.33492857,.30952382,.77999997
sokoto,231.65344,.72407895,0,0
taraba,289.83017,4.3745456,.077777781,.06818182
yobe,243.03786,4.0695348,.2,.16513762
zamfara,216.64432,3.8206024,.42222223,.78888887
fct abuja,1194.0361,.052307691,.050000001,0
,,,1,
